id,name
account.selection__account_account__account_type__asset_receivable,Piutang
account.selection__account_account__account_type__asset_cash,Bank dan Tunai
account.selection__account_account__account_type__asset_current,Aktiva Lancar
account.selection__account_account__account_type__asset_non_current,Aktiva Tidak Lancar
account.selection__account_account__account_type__asset_prepayments,Prabayar
account.selection__account_account__account_type__asset_fixed,Aktiva Tetap
account.selection__account_account__account_type__liability_payable,Utang
account.selection__account_account__account_type__liability_credit_card,Kartu Kredit
account.selection__account_account__account_type__liability_current,Pasiva Terkini
account.selection__account_account__account_type__liability_non_current,Hutang Tidak Lancar
account.selection__account_account__account_type__equity,Ekuitas
account.selection__account_account__account_type__equity_unaffected,Penghasilan Tahun Terkini
account.selection__account_account__account_type__income,Penghasilan
account.selection__account_account__account_type__income_other,Penghasilan Lainnya
account.selection__account_account__account_type__expense,Pengeluaran
account.selection__account_account__account_type__expense_other,Pengeluaran Lainnya
account.selection__account_account__account_type__expense_depreciation,Penyusutan
account.selection__account_account__account_type__expense_direct_cost,Biaya Pendapatan
account.selection__account_account__account_type__off_balance,Off-Balance Sheet
